level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,754,1000,-1.0,
2,1,1,0,0,0,11,62,685,814,-1.0,
3,1,1,1,0,0,11,62,685,814,-1.0,
4,1,1,1,1,0,28,62,475,28,-1.0,
5,1,1,1,1,1,28,62,52,18,68.911224,woe
5,1,1,1,1,2,496,72,7,18,0.0,/
4,1,1,1,2,0,50,93,493,30,-1.0,
5,1,1,1,2,1,50,104,40,9,43.196609,pares
5,1,1,1,2,2,119,93,44,30,0.0,Arid
5,1,1,1,2,3,172,96,76,18,66.072311,"30,1492."
5,1,1,1,2,4,492,94,51,25,14.038658,fo
4,1,1,1,3,0,19,131,217,21,-1.0,
5,1,1,1,3,1,19,131,90,21,0.0,p-NCHMEGES
5,1,1,1,3,2,118,132,59,9,85.099464,PENDING
5,1,1,1,3,3,186,132,50,10,46.456703,REFORT
4,1,1,1,4,0,49,152,364,20,-1.0,
5,1,1,1,4,1,49,159,69,10,90.725449,CONTRACT
5,1,1,1,4,2,126,160,101,12,96.395485,LABORATORIES
5,1,1,1,4,3,365,152,48,9,16.34552,se
4,1,1,1,5,0,66,168,602,46,-1.0,
5,1,1,1,5,1,66,201,85,13,0.0,Saeceg
5,1,1,1,5,2,160,202,58,9,8.3251,omen
5,1,1,1,5,3,246,194,18,18,39.115005,_Q
5,1,1,1,5,4,305,202,7,11,34.70285,4
5,1,1,1,5,5,362,198,19,15,27.863722,fae
5,1,1,1,5,6,415,206,9,5,71.686592,«
5,1,1,1,5,7,460,195,13,17,5.253286,Je
5,1,1,1,5,8,480,198,30,16,0.0,p5p-LE
5,1,1,1,5,9,528,168,140,45,11.336517,"OS,"
4,1,1,1,6,0,49,224,532,17,-1.0,
5,1,1,1,6,1,49,229,67,10,5.358105,GUILFORD
5,1,1,1,6,2,126,229,123,12,18.357029,LaBs_(PTEDMONT}
5,1,1,1,6,3,455,228,3,2,0.0,.
5,1,1,1,6,4,566,224,15,15,38.163681,o
4,1,1,1,7,0,65,243,577,22,-1.0,
5,1,1,1,7,1,65,244,84,10,63.423492,Condensate
5,1,1,1,7,2,158,244,86,10,83.997375,Collection
5,1,1,1,7,3,260,243,67,16,53.421562,___—D)
5,1,1,1,7,4,598,249,44,16,0.0,—
4,1,1,1,8,0,48,252,600,42,-1.0,
5,1,1,1,8,1,48,252,68,42,35.088188,EAZZEROS
5,1,1,1,8,2,537,263,12,17,33.775448,84
5,1,1,1,8,3,572,258,76,26,0.0,"1Es,"
4,1,1,1,9,0,65,286,140,12,-1.0,
5,1,1,1,9,1,65,286,42,10,90.11451,Acute
5,1,1,1,9,2,116,287,31,10,93.248016,"Tox,"
5,1,1,1,9,3,161,286,44,12,68.484505,{LD50)
4,1,1,1,10,0,82,292,349,31,-1.0,
5,1,1,1,10,1,82,300,50,14,15.234041,‘28-Day
5,1,1,1,10,2,141,301,33,10,64.97818,Oral
5,1,1,1,10,3,221,292,86,31,64.209129,—T
5,1,1,1,10,4,423,305,8,5,28.517075,-
4,1,1,1,11,0,295,316,6,11,-1.0,
5,1,1,1,11,1,295,316,6,11,93.976448,4
4,1,1,1,12,0,190,330,216,14,-1.0,
5,1,1,1,12,1,190,341,88,3,20.479912,————
5,1,1,1,12,2,298,330,3,11,37.853428,§
4,1,1,1,13,0,190,344,216,15,-1.0,
5,1,1,1,13,1,190,355,87,3,40.215858,——_
5,1,1,1,13,2,295,344,6,11,18.046598,¢§-
4,1,1,1,14,0,190,358,216,15,-1.0,
5,1,1,1,14,1,190,369,87,3,58.882847,——
5,1,1,1,14,2,295,358,6,11,0.0,§
4,1,1,1,15,0,64,384,366,14,-1.0,
5,1,1,1,15,1,64,384,34,11,96.257744,Skin
5,1,1,1,15,2,106,385,67,13,0.0,Painting
5,1,1,1,15,3,294,386,6,11,54.059853,a
5,1,1,1,15,4,421,390,9,5,93.273827,=
4,1,1,1,16,0,189,397,217,14,-1.0,
5,1,1,1,16,1,189,397,88,3,0.0,a
5,1,1,1,16,2,318,398,88,3,12.576609,Se
4,1,1,1,17,0,189,415,216,14,-1.0,
5,1,1,1,17,1,189,425,88,3,3.905573,a
4,1,1,1,18,0,189,429,216,14,-1.0,
5,1,1,1,18,1,189,439,88,3,3.141603,—_—_—_
5,1,1,1,18,2,294,429,6,10,0.0,!
4,1,1,1,19,0,63,465,306,20,-1.0,
5,1,1,1,19,1,63,470,33,9,89.913429,ames
5,1,1,1,19,2,122,465,13,20,48.74733,44
5,1,1,1,19,3,165,470,6,11,60.348129,@
5,1,1,1,19,4,206,467,62,17,35.396378,oad”
5,1,1,1,19,5,292,473,8,5,94.247978,=
5,1,1,1,19,6,323,466,46,19,0.0,$340
4,1,1,1,20,0,13,495,683,29,-1.0,
5,1,1,1,20,1,13,495,25,24,63.047462,eo
5,1,1,1,20,2,112,497,436,16,0.0,—__-_—
5,1,1,1,20,3,628,503,31,21,51.823582,"..,"
5,1,1,1,20,4,692,501,4,4,48.35638,.
4,1,1,1,21,0,62,517,597,29,-1.0,
5,1,1,1,21,1,62,525,32,10,60.959,"Chr,"
5,1,1,1,21,2,104,521,59,15,0.0,aberrs”
5,1,1,1,21,3,201,524,46,13,48.470592,=e
5,1,1,1,21,4,282,523,32,17,59.76889,WA
5,1,1,1,21,5,368,537,9,4,44.181931,-
5,1,1,1,21,6,455,517,16,29,27.7813,"x,"
5,1,1,1,21,7,605,535,4,3,0.0,~
5,1,1,1,21,8,628,518,31,20,0.0,lm
4,1,1,1,22,0,36,526,614,43,-1.0,
5,1,1,1,22,1,36,536,69,15,0.0,Washed.
5,1,1,1,22,2,115,540,26,14,44.579052,Wa
5,1,1,1,22,3,151,537,73,19,25.310764,SpA
5,1,1,1,22,4,241,540,6,11,56.902908,@
5,1,1,1,22,5,281,541,43,13,0.0,—Eaae
5,1,1,1,22,6,389,526,36,43,0.0,4x
5,1,1,1,22,7,432,526,51,43,0.0,a-
5,1,1,1,22,8,601,545,49,8,88.059944,“33
4,1,1,1,23,0,47,545,530,42,-1.0,
5,1,1,1,23,1,47,545,48,42,18.540964,douse
5,1,1,1,23,2,104,545,70,26,22.51841,Lymphoua
5,1,1,1,23,3,237,546,10,26,24.195236,rf
5,1,1,1,23,4,368,565,8,4,78.364677,-
5,1,1,1,23,5,566,570,11,3,17.597504,_
4,1,1,1,24,0,59,570,421,19,-1.0,
5,1,1,1,24,1,59,570,71,13,0.0,fewesgone
5,1,1,1,24,2,138,571,30,13,4.391747,"buh,"
5,1,1,1,24,3,190,574,32,10,30.748306,a.
5,1,1,1,24,4,270,573,60,13,42.079742,2440
5,1,1,1,24,5,364,585,8,2,10.012951,|
5,1,1,1,24,6,402,562,32,31,0.0,sy
5,1,1,1,24,7,441,562,43,31,0.0,a05.
4,1,1,1,25,0,44,571,567,40,-1.0,
5,1,1,1,25,1,44,571,85,28,0.0,wurruneoe
5,1,1,1,25,2,138,590,67,10,0.0,sasiaagy
5,1,1,1,25,3,228,574,31,37,49.072456,"©,"
5,1,1,1,25,4,261,574,89,35,0.0,41—
5,1,1,1,25,5,364,590,10,3,40.52858,=
5,1,1,1,25,6,395,580,86,18,46.918446,"39,908."
5,1,1,1,25,7,552,586,10,16,36.735291,"4,"
5,1,1,1,25,8,578,585,33,17,36.735291,(20
4,1,1,1,26,0,102,605,119,10,-1.0,
5,1,1,1,26,1,102,609,3,4,23.064495,.
5,1,1,1,26,2,210,605,11,10,35.718876,#8
4,1,1,1,27,0,60,608,457,39,-1.0,
5,1,1,1,27,1,60,608,43,28,95.395409,Acute
5,1,1,1,27,2,112,609,118,38,0.0,Cardtovascnlar
5,1,1,1,27,3,258,616,11,16,39.815399,ZS
5,1,1,1,27,4,300,618,6,11,42.475899,e¢
5,1,1,1,27,5,330,617,45,15,51.245422,373.
5,1,1,1,27,6,427,622,8,4,91.476387,=
5,1,1,1,27,7,456,615,61,15,24.555082,[8860
4,1,1,1,28,0,199,621,388,31,-1.0,
5,1,1,1,28,1,199,633,13,10,52.442703,0.
5,1,1,1,28,2,220,621,32,31,46.759964,50545
5,1,1,1,28,3,300,632,6,11,76.925705,@
5,1,1,1,28,4,335,633,48,9,0.0,“Baes—
5,1,1,1,28,5,426,636,9,5,93.463791,=
5,1,1,1,28,6,460,633,59,14,20.241066,"“epee,"
5,1,1,1,28,7,585,640,2,4,13.470621,.
4,1,1,1,29,0,64,644,371,19,-1.0,
5,1,1,1,29,1,64,645,64,13,82.581131,(partial
5,1,1,1,29,2,137,647,48,11,60.578751,"payme,"
5,1,1,1,29,3,195,646,40,17,80.908684,made}
5,1,1,1,29,4,300,644,28,13,51.480251,er
5,1,1,1,29,5,374,645,37,2,32.325058,——_
5,1,1,1,29,6,427,650,8,4,87.354866,=
4,1,1,1,30,0,43,656,640,43,-1.0,
5,1,1,1,30,1,43,673,42,10,34.927971,IIERI
5,1,1,1,30,2,170,675,21,9,27.501402,90
5,1,1,1,30,3,200,673,80,22,26.967468,PN.
5,1,1,1,30,4,300,674,29,17,64.168503,
5,1,1,1,30,5,386,684,11,6,50.425041,2
5,1,1,1,30,6,436,673,14,14,29.832405,14
5,1,1,1,30,7,455,675,47,17,0.0,detesn
5,1,1,1,30,8,521,667,9,23,64.994209,¢
5,1,1,1,30,9,536,656,29,43,33.683441,56
5,1,1,1,30,10,578,665,105,31,46.358585,733.534
4,1,1,1,31,0,60,697,590,35,-1.0,
5,1,1,1,31,1,60,697,193,21,0.0,Immunomodulatory*is'
5,1,1,1,31,2,265,702,6,11,72.67543,@
5,1,1,1,31,3,302,701,8,15,20.325794,A
5,1,1,1,31,4,319,703,11,13,33.139946,a
5,1,1,1,31,5,392,706,8,4,81.15255,=
5,1,1,1,31,6,433,701,24,13,20.961752,_3e.
5,1,1,1,31,7,468,703,32,29,32.982693,Lp
5,1,1,1,31,8,527,707,8,5,42.822304,=
5,1,1,1,31,9,611,702,39,13,41.628044,22.5
4,1,1,1,32,0,73,699,595,37,-1.0,
5,1,1,1,32,1,73,711,137,23,14.385414,"Rangefinder-pos"""
5,1,1,1,32,2,222,714,8,22,22.6402,ra
5,1,1,1,32,3,265,717,68,16,35.89109,etx
5,1,1,1,32,4,360,733,3,1,0.0,.
5,1,1,1,32,5,376,717,24,12,13.119106,=
5,1,1,1,32,6,491,734,3,1,32.19696,f
5,1,1,1,32,7,547,699,44,37,61.932751,"2a,"
5,1,1,1,32,8,599,699,44,37,61.932751,£22
5,1,1,1,32,9,644,699,24,37,61.542324,77
4,1,1,1,33,0,59,739,496,20,-1.0,
