level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,754,1000,-1.0,
2,1,1,0,0,0,28,28,659,842,-1.0,
3,1,1,1,0,0,28,28,659,842,-1.0,
4,1,1,1,1,0,28,28,45,7,-1.0,
5,1,1,1,1,1,28,29,5,4,0.0,-
4,1,1,1,2,0,289,90,176,12,-1.0,
5,1,1,1,2,1,289,90,176,12,10.847664,‘BR._JOWNBIENENBTOCK
4,1,1,1,3,0,307,103,140,14,-1.0,
5,1,1,1,3,1,303,99,91,28,0.0,Curriculum
5,1,1,1,3,2,403,99,47,28,95.142517,Vitae
4,1,1,1,4,0,48,148,209,13,-1.0,
5,1,1,1,4,1,48,149,35,12,91.125809,Date
5,1,1,1,4,2,92,149,26,12,89.153511,and
5,1,1,1,4,3,128,149,43,12,59.345375,Place
5,1,1,1,4,4,180,149,17,12,59.345375,ef
5,1,1,1,4,5,207,148,50,11,95.101768,Birth:
4,1,1,1,5,0,49,163,455,15,-1.0,
5,1,1,1,5,1,49,164,60,10,94.264946,October
5,1,1,1,5,2,119,165,14,12,94.264946,"6,"
5,1,1,1,5,3,146,165,40,13,95.737328,"1936,"
5,1,1,1,5,4,198,164,76,14,95.737328,"Budapest,"
5,1,1,1,5,5,286,165,67,13,87.374672,"Hungary,"
5,1,1,1,5,6,364,163,70,12,96.521538,Canadian
5,1,1,1,5,7,443,164,61,11,85.329277,citizen
4,1,1,1,6,0,48,193,130,14,-1.0,
5,1,1,1,6,1,48,193,59,14,92.686859,Marital
5,1,1,1,6,2,119,195,59,12,33.040615,status:
4,1,1,1,7,0,48,208,203,14,-1.0,
5,1,1,1,7,1,48,208,68,14,93.109161,"Married,"
5,1,1,1,7,2,128,210,43,10,96.910347,three
5,1,1,1,7,3,181,209,70,11,96.785362,children
4,1,1,1,8,0,49,238,84,14,-1.0,
5,1,1,1,8,1,49,238,84,14,37.270561,Rdueation:
4,1,1,1,9,0,48,254,430,14,-1.0,
5,1,1,1,9,1,48,255,68,10,61.247566,¥.B.B.8.
5,1,1,1,9,2,127,254,98,11,32.38916,Westminster
5,1,1,1,9,3,233,254,76,14,88.99736,"Hospital,"
