level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,754,1000,-1.0,
2,1,1,0,0,0,87,122,582,790,-1.0,
3,1,1,1,0,0,87,122,582,790,-1.0,
4,1,1,1,1,0,132,122,369,12,-1.0,
5,1,1,1,1,1,132,122,95,12,96.702057,DISTRIBUTION
5,1,1,1,1,2,232,122,42,11,91.295685,LISTS:
5,1,1,1,1,3,451,122,50,11,72.933662,TOX100
4,1,1,1,2,0,87,137,540,18,-1.0,
5,1,1,1,2,1,87,137,540,18,0.0,po
4,1,1,1,3,0,140,158,384,13,-1.0,
5,1,1,1,3,1,140,159,31,11,96.86232,Lists
5,1,1,1,3,2,176,159,27,11,96.857704,Last
5,1,1,1,3,3,208,158,58,12,94.754921,Updated:
5,1,1,1,3,4,427,158,39,12,93.971771,March
5,1,1,1,3,5,471,158,18,13,90.205292,"10,"
5,1,1,1,3,6,494,159,30,11,94.510727,2000
4,1,1,1,4,0,87,173,540,18,-1.0,
5,1,1,1,4,1,83,169,100,30,0.006142,PO
4,1,1,1,5,0,271,194,172,12,-1.0,
5,1,1,1,5,1,271,195,53,11,96.114777,Hardcopy
5,1,1,1,5,2,338,195,76,11,95.98439,Distribution
5,1,1,1,5,3,419,194,24,12,90.793526,List
4,1,1,1,6,0,153,213,384,11,-1.0,
5,1,1,1,6,1,153,213,28,11,73.45916,‘SOP
5,1,1,1,6,2,185,213,43,11,95.123192,Issued
5,1,1,1,6,3,232,213,21,11,95.123192,To:
5,1,1,1,6,4,413,213,65,11,95.236336,Document
5,1,1,1,6,5,483,213,54,11,94.918228,Number:
4,1,1,1,7,0,408,231,132,11,-1.0,
5,1,1,1,7,1,408,231,132,11,13.455362,"‘TOX100.004,022900.01"
4,1,1,1,8,0,151,249,391,11,-1.0,
5,1,1,1,8,1,151,249,56,11,7.939796,Dwayne
5,1,1,1,8,2,211,249,43,11,92.575768,Hedrick
5,1,1,1,8,3,408,249,134,11,75.438843,TOX100.004.022900.02
4,1,1,1,9,0,408,267,133,11,-1.0,
5,1,1,1,9,1,408,267,133,11,43.250523,TOX100.004.022900.03
4,1,1,1,10,0,128,284,150,14,-1.0,
5,1,1,1,10,1,128,285,27,11,96.021553,Sheri
5,1,1,1,10,2,158,285,52,13,94.193443,"Bowman,"
5,1,1,1,10,3,214,285,6,10,96.493332,3
5,1,1,1,10,4,225,284,15,12,94.891609,lab
5,1,1,1,10,5,244,284,34,14,24.495955,copies
4,1,1,1,11,0,408,302,133,12,-1.0,
5,1,1,1,11,1,408,302,27,12,64.739838,TOX
5,1,1,1,11,2,438,302,103,12,25.227562,"100.004.022900.05,"
4,1,1,1,12,0,407,320,135,11,-1.0,
5,1,1,1,12,1,407,320,135,11,71.240311,TOX100.004.022900.06
4,1,1,1,13,0,660,828,9,7,-1.0,
5,1,1,1,13,1,660,828,9,7,31.864176,2
4,1,1,1,14,0,659,880,9,15,-1.0,
5,1,1,1,14,1,659,880,9,15,79.154343,3
4,1,1,1,15,0,659,897,9,15,-1.0,
5,1,1,1,15,1,659,897,9,15,52.581539,5
