doc_id,file_path,relative_path,class_name,split_original,source_folder,file_ext,width,height,read_error,hash_md5,split
doc_00000000,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/2070260358.tif,test/form/2070260358.tif,form,test,test/form,.tif,754.0,1000.0,,495631ee73bd149fbedd791631d63b4f,train
doc_00000001,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/2028608875_2028608881.tif,test/form/2028608875_2028608881.tif,form,test,test/form,.tif,785.0,1000.0,,20de1efa3dd7e1a06ed5b313a3a5a62c,train
doc_00000002,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/2028706790.tif,test/form/2028706790.tif,form,test,test/form,.tif,777.0,1000.0,,2c4660b2409aa844ba5396a5c222d3b7,train
doc_00000003,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/522754652+-4654.tif,test/form/522754652+-4654.tif,form,test,test/form,.tif,754.0,1000.0,,c3890b15e45d3d6ad0f4d4f50e8cdf5d,train
doc_00000004,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/2024964183.tif,test/form/2024964183.tif,form,test,test/form,.tif,777.0,1000.0,,4c35ff8e492f373ae046a34ea7dc804b,train
doc_00000005,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/521859710+-9710.tif,test/form/521859710+-9710.tif,form,test,test/form,.tif,754.0,1000.0,,b9a313af7131e4f816708859dbb1a204,test
doc_00000006,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/2030298475.tif,test/form/2030298475.tif,form,test,test/form,.tif,783.0,1000.0,,a169ed271186fb2a95bb38f7fdefb325,train
doc_00000007,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/2056308297.tif,test/form/2056308297.tif,form,test,test/form,.tif,785.0,1000.0,,0bd4799c7af096bb085e7f0ef2970cff,train
doc_00000008,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/2084116092.tif,test/form/2084116092.tif,form,test,test/form,.tif,754.0,1000.0,,5eee0a55d35ff7f36d4c827ae42b4be0,train
doc_00000009,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/94349004_94349011.tif,test/form/94349004_94349011.tif,form,test,test/form,.tif,769.0,1000.0,,812bf4157f5fc42398b2ed53debc4ffa,train
doc_00000010,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/2028722815.tif,test/form/2028722815.tif,form,test,test/form,.tif,777.0,1000.0,,f8410945909c475d6cbe87a6bac18244,train
doc_00000011,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/2077189526.tif,test/form/2077189526.tif,form,test,test/form,.tif,754.0,1000.0,,b3ceebd1783c70a257d5092d18443d20,train
doc_00000012,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/2065155884.tif,test/form/2065155884.tif,form,test,test/form,.tif,754.0,1000.0,,bf0f72cf83d1fbc808965892ec1ecb61,val
doc_00000013,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/2050883049.tif,test/form/2050883049.tif,form,test,test/form,.tif,754.0,1000.0,,d4f496e91d7836a7e009f74192d7c8c8,val
doc_00000014,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/2029196554.tif,test/form/2029196554.tif,form,test,test/form,.tif,777.0,1000.0,,489a94e56ceaca679b0a554bca95e4f2,val
doc_00000015,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/88802476_2479.tif,test/form/88802476_2479.tif,form,test,test/form,.tif,754.0,1000.0,,397efa3a7cfc526584864d4bb157f878,train
doc_00000016,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/2086079204.tif,test/form/2086079204.tif,form,test,test/form,.tif,754.0,1000.0,,ca7799fa3d538bee03fc0da18a44e583,test
doc_00000017,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/522527733+-7735.tif,test/form/522527733+-7735.tif,form,test,test/form,.tif,754.0,1000.0,,b8a5ad4318f4156d5537c4026cc3c23d,train
doc_00000018,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/0000953276.tif,test/form/0000953276.tif,form,test,test/form,.tif,762.0,1000.0,,792fe8a227177d0c85bef7708e15fd4f,test
doc_00000019,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/2501329003.tif,test/form/2501329003.tif,form,test,test/form,.tif,726.0,1000.0,,df28ebf573deefde568243f025967f1a,val
doc_00000020,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/2028976478.tif,test/form/2028976478.tif,form,test,test/form,.tif,777.0,1000.0,,a58db47dfed79d3b4f6f8e104bd10f99,train
doc_00000021,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/2072655209.tif,test/form/2072655209.tif,form,test,test/form,.tif,754.0,1000.0,,0246571907904543a624ecf54891aeb8,test
doc_00000022,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/2050700945_2050700949.tif,test/form/2050700945_2050700949.tif,form,test,test/form,.tif,611.0,1000.0,,abd084e3fcb35f1a017ee93075f5924d,train
doc_00000023,/Users/sofiiaavetisian/Desktop/UNI/statistical_learning/FINAL_PROJECT/document-classification/document_classification_project/data/raw/kaggle_extracted/test/form/80415917_80416007.tif,test/form/80415917_80416007.tif,form,test,test/form,.tif,775.0,1000.0,,ae3a88c4c49f6af01c252a168175a0b7,train
